A,B,C,D,E,F
39,262.05,36,377,-97.4632,-10.2438
2,40.07,33,347.17,-70.0185,-26.8776
1,33.97,16,177.33,-64.7527,-5.66512
33,226.44,14,157.36,31.467,77.8834
4,52.3,7,86.98,-41.7768,-29.2524
30,208.17,20,217.43,-17.1922,-40.5022
0,28.15,4,57.42,-55.2848,-25.7797
32,220.49,2,37.37,-30.3226,-6.44526
31,214.11,4,57.42,-23.2441,-49.8469
29,202.46,14,157.25,-32.1394,-38.3022
20,147.97,16,177.37,30.3087,24.5435
14,112.48,2,37.56,83.693,27.1935
1,34.29,26,277.52,61.9075,38.6841
32,220.01,21,227.25,38.3886,47.4059
9,82.39,28,297.52,-80.2769,-56.2105
30,207.99,23,247.35,32.1476,11.0693
22,160.38,5,67.22,70.4761,59.1364
18,136.3,38,397.13,-21.4122,-23.7806
3,46.09,7,87.01,9.82983,6.88291
3,45.98,23,247,-3.06418,-2.57115
13,106.56,0,17.13,-41.3318,-47.5467
30,207.97,35,367.04,108.574,23.0782
13,106.04,12,137,-95.2844,-11.6994
6,64.24,36,377.42,69.6392,46.9722
5,58.56,22,237.25,-17.9014,-1.88151
6,64.12,30,318.43,-54.1783,-69.3449
20,148.11,7,87.45,29.3862,76.5536
27,190.04,12,137.49,36.5677,34.0999
24,172.33,15,167.18,12.9288,1.35887
2,40.55,10,117.41,-44.1158,-67.9323
15,118.22,20,217.42,39.6345,32.0953
33,226,18,197.49,-16.4207,-4.39992
29,202.48,19,207.38,-33.8012,-15.0492
1,34.36,37,387.33,22.6274,22.6274
0,28.51,21,227.27,-58.9215,-15.788
15,118.51,17,187.32,-47.8173,-4.18347
19,142.22,35,367.46,35.2477,34.0382
22,160.15,22,236.98,-83.6327,-30.4398
3,46.09,36,376.97,24.0992,33.1697
23,166.38,15,167.41,26.267,43.7155
4,52.55,21,227.1,-30.3109,-17.5
13,106.53,22,237.05,-33.8137,-3.55396
39,262.05,30,316.98,8.54149,19.1844
26,184.41,14,157.32,8.55053,23.4923
16,124.05,16,177.08,-20.1415,-19.4504
38,256.05,30,317.28,6.50001,11.2583
36,244.23,12,137.55,-11.7414,-7.62494
29,202.03,38,397.08,45.6039,11.3703
13,106.03,4,57.36,-63.9124,-46.435
6,64.34,21,227.11,30.8538,36.7701
5,58.35,33,347.32,86.7189,20.0206
11,94.42,24,257.4,18.3686,13.8417
21,154.02,28,297.08,-29.0554,-57.0244
10,87.98,14,157.23,-36.7701,-30.8538
7,70.35,24,257.45,-75.0643,-11.889
33,226.07,23,247.35,67.884,51.1542
36,244.53,30,317.09,-0.342021,-0.939692
27,190.29,10,117.52,-53.8875,-36.3475
23,166.03,32,337.54,-48.0001,-83.1384
24,172.21,15,167.37,-62.2556,-43.5918
5,58.07,30,317.05,-34.641,-20
32,220.46,4,56.99,-5.51608,-4.30963
8,76.17,8,97.47,-23.3165,-37.3141
9,82.28,1,27.51,23.6822,77.4607
31,214.14,2,37.23,-7.16252,-20.8014
38,256,28,296.97,75.8243,33.7591
28,196.12,18,197.09,-34.67,-51.4003
7,70.43,32,337.52,62.2556,43.5918
11,94.55,31,327.01,-36.7393,-42.2637
2,40.32,2,37.21,-19.0919,-19.0919
23,166.29,35,367.08,66.2764,28.1326
12,100.37,33,346.99,-68.3084,-33.3162
14,112.29,29,307.55,5.55508,18.1698
30,208.47,8,97.5,-4.78152,-1.46186
18,136.46,39,407.17,18.5177,28.5148
12,100.46,16,177.44,-22.6525,-16.458
17,130.54,21,227.27,38.0004,8.77308
