A,B,C,D
1,27,23.09,127.01
2,2,28.14,2.31
3,13,33.23,57.03
4,19,37.99,87.19
5,7,43.06,27.1
6,22,48.14,102.19
7,12,53.04,52.31
8,1,58.02,-2.85
9,4,63.33,12.01
10,8,68.02,32.18
11,10,73.21,42.21
12,14,78.24,62.29
13,39,83.29,187.14
14,5,88.09,17.07
15,18,93.16,82.15
16,22,98.3,102.24
17,35,103.34,167.3
18,29,108.35,137.27
19,38,112.99,182.22
20,34,118.08,162.18
21,6,123.18,22.34
22,29,128.24,137.2
23,12,133.24,52.03
24,28,138.21,132.14
25,29,142.99,137.24
26,39,148.13,187.08
27,25,153.09,117.04
28,9,158.3,37.02
29,30,163.28,142.03
30,7,168.14,27.13
31,27,173.2,127.26
32,15,178.01,67.12
33,37,183.13,177.3
34,35,188.01,167.13
35,11,193.23,47.14
36,30,198.14,142.22
37,0,202.99,-7.67
38,7,208,27.25
39,11,213.31,47.07
40,16,218.3,72.24
41,24,223.17,112.06
42,12,228.25,52.1
43,26,233.14,122.25
44,19,238.09,87.21
45,34,243.21,161.98
46,3,248.03,7.14
47,27,253.03,127.07
48,14,258.02,62.09
49,33,263.05,157.34
50,2,268.22,2.26
51,20,273.06,91.98
52,21,278.1,97.17
53,25,283.36,117.33
54,12,288.07,52.05
55,27,293.34,127.2
56,19,298.29,87.25
57,35,303.08,167.22
58,36,308.22,172.27
59,0,313.07,-7.66
60,28,318.09,132.1
61,9,323.22,37.1
62,1,328.03,-2.78
63,20,333.28,92.13
64,15,338.32,67.22
65,22,343.12,102.1
66,4,348.31,12.01
67,31,353.19,147.11
68,8,358.15,32.27
69,37,363.15,177.36
70,25,368.36,117
71,30,373.05,142.24
72,2,378.06,2.21
73,27,383.26,127.11
74,34,388.01,162.05
75,18,393.16,82.11
76,31,398.2,147.05
77,26,403.04,122.26
78,0,408.12,-7.65
79,21,413.01,97.05
80,20,418.26,92.03
81,14,423.16,62.1
82,32,428.11,152.1
83,15,433.3,66.98
84,28,438.24,132.33
85,27,443.02,127.11
86,1,448.25,-2.74
87,0,453.12,-7.68
88,28,458.04,132.06
89,17,463.17,77.01
90,24,468.29,112.29
91,21,473.03,97
92,25,478.35,117.13
93,37,483.1,177.05
94,37,488.3,177.31
95,25,493.18,117.27
96,38,498.11,182.07
97,26,503.11,122.13
98,12,508.31,52.19
99,12,513.08,52.3
100,15,518.25,67.22
